Time,Temperature,Brightness
07/11/2021 01:57,24.38,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.38,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.38,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.38,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.38,0
07/11/2021 01:57,24.31,0
07/11/2021 01:57,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.38,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.31,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:58,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
